entity_id,type,debit,credit,amount,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,payment_id,arn,method,description
pay_90000,payment,0.00,500.00,500.00,10.00,1.80,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90000,,card,Settlement line for pay_90000
pay_90001,payment,0.00,25000.00,25000.00,500.00,90.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90001,,card,Settlement line for pay_90001
pay_90002,payment,0.00,4999.00,4999.00,99.98,18.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90002,,card,Settlement line for pay_90002
pay_90003,payment,0.00,25000.00,25000.00,500.00,90.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90003,,card,Settlement line for pay_90003
pay_90004,payment,0.00,1200.00,1200.00,0.00,0.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90004,,card,Settlement line for pay_90004
pay_90005,payment,0.00,50000.00,50000.00,900.00,162.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90005,,card,Settlement line for pay_90005
pay_90006,payment,0.00,72000.00,72000.00,1440.00,259.20,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90006,,card,Settlement line for pay_90006
pay_90007,payment,0.00,7500.00,7500.00,135.00,24.30,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90007,,card,Settlement line for pay_90007
pay_90008,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90008,,card,Settlement line for pay_90008
pay_90009,payment,0.00,2500.00,2500.00,50.00,9.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90009,,card,Settlement line for pay_90009
pay_90010,payment,0.00,500.00,500.00,0.00,0.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90010,,card,Settlement line for pay_90010
pay_90011,payment,0.00,7500.00,7500.00,135.00,24.30,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90011,,card,Settlement line for pay_90011
pay_90012,payment,0.00,50000.00,50000.00,1000.00,180.00,false,true,2026-08-03T10:00:00+00:00,2026-08-03T10:00:00+00:00,setl_8800,pay_90012,,card,Settlement line for pay_90012
